№ x     y(x) 
0,	-5.0,	11.546745529885477 
1,	-4.979959919839679,	11.588841222679159 
2,	-4.959919839679359,	11.63110075760851 
3,	-4.939879759519038,	11.672028258349721 
4,	-4.919839679358717,	11.71036889421597 
5,	-4.8997995991983965,	11.74511938820812 
6,	-4.8797595190380765,	11.77552028607947 
7,	-4.859719438877756,	11.801034588508733 
8,	-4.839679358717435,	11.821317497719278 
9,	-4.819639278557114,	11.836181605092946 
10,	-4.799599198396794,	11.84556107109375 
11,	-4.779559118236473,	11.849477430480027 
12,	-4.759519038076152,	11.848008756257434 
13,	-4.739478957915832,	11.841263141114558 
14,	-4.719438877755511,	11.8293568587171 
15,	-4.69939879759519,	11.812397161572841 
16,	-4.679358717434869,	11.790469442207673 
17,	-4.659318637274549,	11.763628400318998 
18,	-4.6392785571142285,	11.731892885230577 
19,	-4.619238476953908,	11.695244185542544 
20,	-4.599198396793588,	11.653627684273955 
